symmetric,input_dim,latent_dim,target_ratio,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,128,16,8,8.0,2,29,4.199296,6.618662,12.884707641601562,1.5172247,1.0482631
False,128,16,8,8.0,2,29,4.455179,5.905926,15.16856498718261,1.5786936,1.0344948
True,128,16,8,8.0,2,30,3.9324725,4.611361,12.971035385131835,1.4993072,0.94664484
False,128,16,8,8.0,2,30,4.522957,5.84785,15.161587905883788,1.6017874,0.9922569
True,128,16,8,8.0,2,31,4.191871,5.824804,15.080889701843256,1.531018,0.9945273
False,128,16,8,8.0,2,31,5.194399,11.992675,17.132274246215772,1.6323438,1.209384
True,128,16,8,8.0,2,32,3.5834162,4.8743696,10.468994331359852,1.4413422,0.8720369
False,128,16,8,8.0,2,32,5.5581064,8.485316,17.327477645874023,1.7337,1.1888125
True,128,16,8,8.0,2,33,4.8379307,9.45446,13.806809997558583,1.5840522,1.1817894
False,128,16,8,8.0,2,33,4.3408203,8.635168,15.034051132202121,1.5051205,1.0932829
True,128,16,8,8.0,2,34,4.936531,7.900996,17.051296234130856,1.6345781,1.1414033
False,128,16,8,8.0,2,34,5.481414,9.322918,17.695257568359374,1.6887951,1.2142508
True,128,16,8,8.0,2,35,4.321179,6.2596116,11.311804962158194,1.545749,0.9970582
False,128,16,8,8.0,2,35,4.651294,7.661324,15.234529876708978,1.5992215,1.0695617
True,128,16,8,8.0,2,36,6.6814833,10.785363,35.38911209106441,1.8425018,1.4150522
False,128,16,8,8.0,2,36,4.382563,5.6622033,14.658366012573227,1.5814031,0.96771616
True,128,16,8,8.0,2,37,4.7599893,6.737872,15.741876220703121,1.6342365,1.0920274
False,128,16,8,8.0,2,37,4.646384,6.862702,15.05943698883055,1.5975083,1.0716339
True,128,16,8,8.0,2,38,4.4318647,5.731164,15.605855751037597,1.5664761,1.0391297
False,128,16,8,8.0,2,38,5.2431865,7.411282,14.401620292663564,1.6971886,1.1185755
True,128,16,8,8.0,2,39,4.4974947,7.286826,14.299112701416007,1.570486,1.0807836
False,128,16,8,8.0,2,39,4.9651804,8.125695,16.138939666748044,1.6236365,1.143057
True,128,16,8,8.0,2,40,4.2344913,6.007186,16.79704971313473,1.52164,1.0461279
False,128,16,8,8.0,2,40,4.7987294,7.148961,14.17267761230468,1.6156411,1.0778952
True,128,16,8,8.0,2,41,4.9985175,7.202933,18.32427139282225,1.6586664,1.0899352
False,128,16,8,8.0,2,41,4.471008,5.6602154,15.69830627441405,1.5886598,1.0108112
True,128,16,8,8.0,2,42,4.582863,6.7271266,16.280660247802732,1.5631541,1.1115355
False,128,16,8,8.0,2,42,4.1286054,4.599074,13.125412178039543,1.547605,0.91090953
True,128,16,8,8.0,2,43,4.0710163,5.1772885,12.912891006469726,1.5142348,0.94585705
False,128,16,8,8.0,2,43,6.6566067,13.838185,21.662041473388634,1.8555351,1.3669511
True,128,16,8,8.0,2,44,4.9940658,8.500099,20.388425827026367,1.5919127,1.2093886
