symmetric,input_dim,latent_dim,ratio,hidden_layers,seed,mse_mean,mse_std,mse_p95,mae_mean,mae_std
True,256,4,64.0,2,39,15.313522,33.066334,44.149938583374,2.7899823,1.874845
False,256,4,64.0,2,39,38.163906,146.44269,63.24850673675534,3.6925507,3.96818
True,256,4,64.0,2,40,32.127598,86.15119,79.96212310790997,3.6800795,3.2505128
False,256,4,64.0,2,40,23.974077,77.504875,61.12840919494628,3.1542184,2.884597
True,256,4,64.0,2,41,15.088359,16.574507,54.42384948730464,2.9204779,1.6001931
False,256,4,64.0,2,41,28.322096,73.26285,55.5196422576904,3.5503585,3.0203977
True,256,4,64.0,2,42,19.126337,22.040903,63.96189060211174,3.2749856,1.8756065
False,256,4,64.0,2,42,31.499971,113.70132,66.22010192871089,3.5943909,3.3456693
True,256,4,64.0,2,43,30.58217,63.80312,97.7689907073974,3.7793179,3.0005157
False,256,4,64.0,2,43,34.150246,139.09244,58.75324611663814,3.338886,3.8704228
True,256,4,64.0,2,44,32.027386,84.85951,96.99794006347653,3.6512897,3.3554978
False,256,4,64.0,2,44,31.945395,86.265495,67.83671226501464,3.7764544,3.1778812
True,256,4,64.0,2,45,18.198353,29.487753,59.02209300994867,3.1550608,1.9399428
False,256,4,64.0,2,45,21.059917,52.731155,55.752849197387675,3.1570191,2.4476743
True,256,4,64.0,2,46,21.119535,26.42031,69.52337818145742,3.4580615,1.9868408
False,256,4,64.0,2,46,32.75274,107.637375,62.28894710540768,3.653466,3.414229
True,256,4,64.0,2,47,19.908468,37.597164,54.57533550262448,3.2004561,2.1935112
False,256,4,64.0,2,47,31.302689,93.19697,89.29421539306615,3.6156445,3.3269143
True,256,4,64.0,2,48,16.000925,20.365732,51.61155796051022,2.9585595,1.7250869
False,256,4,64.0,2,48,19.05059,56.190273,55.10390930175766,2.9399765,2.3834028
True,256,4,64.0,2,49,12.72516,16.796339,38.403805923461896,2.6365833,1.5338894
False,256,4,64.0,2,49,29.121407,98.97916,57.406701660156166,3.42752,3.256887
True,256,8,32.0,2,0,14.639935,16.669516,50.87167568206775,2.8819191,1.6107041
False,256,8,32.0,2,0,17.775488,37.304054,55.3946002960205,2.9796178,2.1574388
True,256,8,32.0,2,1,13.596676,19.566147,42.57265033721922,2.7105277,1.7098961
False,256,8,32.0,2,1,16.088228,33.15246,53.11945514678947,2.8358624,2.0744312
